,text,table,tr,td
0,Page,table[1],tr[1],td[3]
1,ARTICLE 1,table[1],tr[3],td[1]
2,DEFINITIONS,table[1],tr[3],td[1]
3,1,table[1],tr[3],td[2]
4,Section 1.01,table[1],tr[4],td[1]
5,Definitions,table[1],tr[4],td[2]
6,1,table[1],tr[4],td[3]
7,Section 1.02,table[1],tr[5],td[1]
8,Other Definitional and Interpretative Provisions,table[1],tr[5],td[2]
9,16,table[1],tr[5],td[3]
10,ARTICLE 2,table[1],tr[6],td[1]
11,THE MERGER,table[1],tr[6],td[1]
12,17,table[1],tr[6],td[2]
13,Section 2.01,table[1],tr[7],td[1]
14,The Closing,table[1],tr[7],td[2]
15,17,table[1],tr[7],td[3]
16,Section 2.02,table[1],tr[8],td[1]
17,The Merger,table[1],tr[8],td[2]
18,17,table[1],tr[8],td[3]
19,Section 2.03,table[1],tr[9],td[1]
20,Conversion of Shares,table[1],tr[9],td[2]
21,18,table[1],tr[9],td[3]
22,Section 2.04,table[1],tr[10],td[1]
23,Exchange and Payment,table[1],tr[10],td[2]
24,18,table[1],tr[10],td[3]
25,Section 2.05,table[1],tr[11],td[1]
26,Dissenting Shares,table[1],tr[11],td[2]
27,20,table[1],tr[11],td[3]
28,Section 2.06,table[1],tr[12],td[1]
29,Company Equity Awards; ESPP,table[1],tr[12],td[2]
30,20,table[1],tr[12],td[3]
31,Section 2.07,table[1],tr[13],td[1]
32,Adjustments,table[1],tr[13],td[2]
33,23,table[1],tr[13],td[3]
34,Section 2.08,table[1],tr[14],td[1]
35,Withholding Rights,table[1],tr[14],td[2]
36,23,table[1],tr[14],td[3]
37,Section 2.09,table[1],tr[15],td[1]
38,Termination of Macquarie/GCM Merger Agreement and Payment of Termination Fee,table[1],tr[15],td[2]
39,23,table[1],tr[15],td[3]
40,ARTICLE 3,table[1],tr[16],td[1]
41,THE SURVIVING CORPORATION,table[1],tr[16],td[1]
42,23,table[1],tr[16],td[2]
43,Section 3.01,table[1],tr[17],td[1]
44,Certificate of Incorporation,table[1],tr[17],td[2]
45,23,table[1],tr[17],td[3]
46,Section 3.02,table[1],tr[18],td[1]
47,Bylaws,table[1],tr[18],td[2]
48,24,table[1],tr[18],td[3]
49,Section 3.03,table[1],tr[19],td[1]
50,Directors and Officers,table[1],tr[19],td[2]
51,24,table[1],tr[19],td[3]
52,ARTICLE 4,table[1],tr[20],td[1]
53,REPRESENTATIONS AND WARRANTIES OF THE COMPANY,table[1],tr[20],td[1]
54,24,table[1],tr[20],td[2]
55,Section 4.01,table[1],tr[21],td[1]
56,"Organization, Standing and Power",table[1],tr[21],td[2]
57,24,table[1],tr[21],td[3]
58,Section 4.02,table[1],tr[22],td[1]
59,Corporate Authorization,table[1],tr[22],td[2]
60,25,table[1],tr[22],td[3]
61,Section 4.03,table[1],tr[23],td[1]
62,Governmental Authorization,table[1],tr[23],td[2]
63,25,table[1],tr[23],td[3]
64,Section 4.04,table[1],tr[24],td[1]
65,Non-contravention,table[1],tr[24],td[2]
66,26,table[1],tr[24],td[3]
67,Section 4.05,table[1],tr[25],td[1]
68,Capitalization,table[1],tr[25],td[2]
69,26,table[1],tr[25],td[3]
70,Section 4.06,table[1],tr[26],td[1]
71,Subsidiaries,table[1],tr[26],td[2]
72,28,table[1],tr[26],td[3]
73,Section 4.07,table[1],tr[27],td[1]
74,SEC Filings and the Sarbanes-Oxley Act,table[1],tr[27],td[2]
75,28,table[1],tr[27],td[3]
76,Section 4.08,table[1],tr[28],td[1]
77,Financial Statements; Internal Controls,table[1],tr[28],td[2]
78,30,table[1],tr[28],td[3]
79,Section 4.09,table[1],tr[29],td[1]
80,Absence of Certain Changes,table[1],tr[29],td[2]
81,31,table[1],tr[29],td[3]
82,Section 4.10,table[1],tr[30],td[1]
83,No Undisclosed Material Liabilities,table[1],tr[30],td[2]
84,31,table[1],tr[30],td[3]
85,Section 4.11,table[1],tr[31],td[1]
86,Litigation,table[1],tr[31],td[2]
87,31,table[1],tr[31],td[3]
88,Section 4.12,table[2],tr[1],td[1]
89,Compliance with Applicable Law; Licenses,table[2],tr[1],td[2]
90,32,table[2],tr[1],td[3]
91,Section 4.13,table[2],tr[2],td[1]
92,Certain Business Practices,table[2],tr[2],td[2]
93,34,table[2],tr[2],td[3]
94,Section 4.14,table[2],tr[3],td[1]
95,Material Contracts,table[2],tr[3],td[2]
96,34,table[2],tr[3],td[3]
97,Section 4.15,table[2],tr[4],td[1]
98,Taxes,table[2],tr[4],td[2]
99,37,table[2],tr[4],td[3]
100,Section 4.16,table[2],tr[5],td[1]
101,Employee Benefit Plans,table[2],tr[5],td[2]
102,38,table[2],tr[5],td[3]
103,Section 4.17,table[2],tr[6],td[1]
104,Labor and Employment Matters,table[2],tr[6],td[2]
105,42,table[2],tr[6],td[3]
106,Section 4.18,table[2],tr[7],td[1]
107,Insurance,table[2],tr[7],td[2]
108,43,table[2],tr[7],td[3]
109,Section 4.19,table[2],tr[8],td[1]
110,Environmental Matters,table[2],tr[8],td[2]
111,43,table[2],tr[8],td[3]
112,Section 4.20,table[2],tr[9],td[1]
